Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
55.104	0	1	-0.03630637	-0.05605419	1	0.6	-0.02131682	-0.2324684	0	0.6	6.99168	13.16514	-3.267573	12	62.36071	16.37657	-976.3987	374.4522	-24.2823	-985.955	371	-51.09058	
55.108	0	1	-0.03630637	-0.05605419	1	0.6	-0.02143967	-0.2328605	0	0.6	6.930256	13.08602	-3.267573	12	62.02267	16.29039	-976.4186	374.4474	-24.3251	-985.955	371	-51.09058	
55.112	0	1	-0.03630637	-0.05605419	1	0.6	-0.02156266	-0.2331226	0	0.6	6.879935	13.03905	-3.267573	12	61.6849	16.22099	-976.4385	374.4427	-24.3679	-985.955	371	-51.09058	
55.116	0	1	-0.03630637	-0.05605419	1	0.6	-0.02168508	-0.2332882	0	0.6	6.789711	12.98953	-3.267573	12	61.34666	16.16421	-976.4583	374.4379	-24.41072	-985.955	371	-51.09058	
55.12	0	1	-0.03630637	-0.05605419	1	0.6	-0.0218078	-0.23338	0	0.6	6.715293	12.91655	-3.267573	12	61.00816	16.1169	-976.4781	374.4332	-24.45354	-985.955	371	-51.09058	
55.124	0	1	-0.03630637	-0.05210463	1	0.6	-0.02193055	-0.2314112	0	0.6	6.645585	13.39751	-3.267573	12	60.66929	16.03722	-976.4979	374.4285	-24.49638	-985.955	371	-51.09058	
55.128	0	1	-0.03630637	-0.05210463	1	0.6	-0.02205229	-0.2316346	0	0.6	6.793662	13.30729	-3.267573	12	60.32857	15.97279	-976.5176	374.4238	-24.53923	-985.955	371	-51.09058	
55.132	0	1	-0.03630637	-0.05210463	1	0.6	-0.02217542	-0.231771	0	0.6	6.711977	13.19422	-3.267573	12	59.98706	15.91982	-976.5374	374.4192	-24.58209	-985.955	371	-51.09058	
55.136	0	1	-0.03630637	-0.05210463	1	0.6	-0.0222989	-0.2318454	0	0.6	6.647794	13.06377	-3.267573	12	59.64491	15.87556	-976.5571	374.4146	-24.62496	-985.955	371	-51.09058	
55.14	0	1	-0.03630637	-0.05210463	1	0.6	-0.02242282	-0.2318691	0	0.6	6.570737	12.91739	-3.267573	12	59.3025	15.83781	-976.5767	374.4101	-24.66785	-985.955	371	-51.09058	
55.144	0	1	-0.03630637	-0.05210463	1	0.6	-0.0225472	-0.2318563	0	0.6	6.524805	12.75839	-3.267573	12	58.9604	15.80498	-976.5964	374.4056	-24.71075	-985.955	371	-51.09058	
55.148	0	1	-0.03630637	-0.05210463	1	0.6	-0.02267184	-0.2318178	0	0.6	6.456881	12.58901	-3.267573	12	58.61919	15.77591	-976.616	374.4011	-24.75367	-985.955	371	-51.09058	
55.152	0	1	-0.03630637	-0.05210463	1	0.6	-0.02279565	-0.2317588	0	0.6	6.394968	12.41715	-3.267573	12	58.27836	15.74967	-976.6356	374.3967	-24.79661	-985.955	371	-51.09058	
55.156	0	1	-0.03630637	-0.05210463	1	0.6	-0.02291877	-0.2316862	0	0.6	6.508207	12.24219	-3.267573	12	57.93743	15.72564	-976.6552	374.3923	-24.83955	-985.955	371	-51.09058	
55.16	0	1	-0.03630637	-0.05210463	1	0.6	-0.02304237	-0.2316038	0	0.6	6.433682	12.0627	-3.267573	12	57.5971	15.7033	-976.6747	374.388	-24.88251	-985.955	371	-51.09058	
55.164	0	1	-0.03630637	-0.05210463	1	0.6	-0.02316619	-0.2315128	0	0.6	6.362191	11.88367	-3.267573	12	57.25806	15.68228	-976.6942	374.3838	-24.92549	-985.955	371	-51.09058	
55.168	0	1	-0.03630637	-0.05210463	1	0.6	-0.02328975	-0.2314172	0	0.6	6.301963	11.71132	-3.267573	12	56.9207	15.66231	-976.7137	374.3795	-24.96848	-985.955	371	-51.09058	
55.172	0	1	-0.03630637	-0.05210463	1	0.6	-0.02341207	-0.2313168	0	0.6	6.219808	11.54295	-3.267573	12	56.58453	15.64314	-976.7332	374.3754	-25.01149	-985.955	371	-51.09058	
55.176	0	1	-0.06790289	-0.03630637	1	0.6	-0.02054756	-0.2230013	0	0.6	1.189882	13.75042	-6.111259	12	53.40688	15.46667	-976.7526	374.3712	-25.0545	-985.955	371	-51.09058	
55.18	0	1	-0.06790289	-0.03630637	1	0.6	-0.02213907	-0.2237726	0	0.6	1.296446	13.62436	-6.111259	12	50.94046	15.33022	-976.772	374.3672	-25.09753	-985.955	371	-51.09058	
55.184	0	1	-0.06790289	-0.03630637	1	0.6	-0.02343198	-0.2243232	0	0.6	1.239109	13.52641	-6.111259	12	49.0074	15.22383	-976.7914	374.3631	-25.14057	-985.955	371	-51.09058	
55.188	0	1	-0.06790289	-0.03630637	1	0.6	-0.02447035	-0.2247077	0	0.6	1.210858	13.44589	-6.111259	12	47.47428	15.14	-976.8108	374.3591	-25.18362	-985.955	371	-51.09058	
55.192	0	1	-0.06790289	-0.03630637	1	0.6	-0.02529774	-0.2249656	0	0.6	1.235466	13.37736	-6.111259	12	46.24031	15.07311	-976.8301	374.355	-25.22669	-985.955	371	-51.09058	
55.196	0	1	-0.06790289	-0.03630637	1	0.6	-0.02595438	-0.2251298	0	0.6	1.280124	13.32456	-6.111259	12	45.22932	15.01894	-976.8494	374.351	-25.26976	-985.955	371	-51.09058	
55.2	0	1	-0.06790289	-0.03630637	1	0.6	-0.02647719	-0.2252223	0	0.6	1.350222	13.28493	-6.111259	12	44.38486	14.97431	-976.8688	374.347	-25.31284	-985.955	371	-51.09058	
55.204	0	1	-0.08370114	-0.02445768	1	0.6	-0.02433513	-0.2189252	0	0.6	-1.143873	15.00199	-7.533103	12	42.24218	14.81842	-976.888	374.3431	-25.35594	-985.955	371	-51.09058	
55.208	0	1	-0.08370114	-0.02445768	1	0.6	-0.0254925	-0.2195661	0	0.6	-0.9398389	14.97076	-7.533103	12	40.54515	14.69753	-976.9073	374.3391	-25.39904	-985.955	371	-51.09058	
55.212	0	1	-0.08370114	-0.02445768	1	0.6	-0.02640404	-0.220016	0	0.6	-0.9641528	14.96964	-7.533103	12	39.1813	14.6029	-976.9265	374.3352	-25.44214	-985.955	371	-51.09058	
55.216	0	1	-0.08370114	-0.02445768	1	0.6	-0.0271153	-0.2203235	0	0.6	-1.008055	14.93142	-7.533103	12	38.06593	14.52799	-976.9457	374.3312	-25.48526	-985.955	371	-51.09058	
55.22	0	1	-0.08370114	-0.02445768	1	0.6	-0.02767075	-0.2205224	0	0.6	-1.049995	14.84972	-7.533103	12	37.1372	14.46787	-976.9649	374.3273	-25.52839	-985.955	371	-51.09058	
55.224	0	1	-0.08370114	-0.02445768	1	0.6	-0.02810099	-0.220643	0	0.6	-1.091602	14.72582	-7.533103	12	36.34764	14.41891	-976.984	374.3234	-25.57154	-985.955	371	-51.09058	
55.228	0	1	-0.1152977	0	1	0.6	-0.02068218	-0.2072412	0	0.6	-6.134007	18.24873	-10.37679	12	32.81905	14.13376	-977.0032	374.3196	-25.6147	-985.955	371	-51.09058	
55.232	0	1	-0.1152977	0	1	0.6	-0.02227608	-0.2085104	0	0.6	-6.019006	18.13636	-10.37679	12	30.07826	13.91608	-977.0223	374.3158	-25.65786	-985.955	371	-51.09058	
55.236	0	1	-0.1152977	0	1	0.6	-0.0235137	-0.2094371	0	0.6	-6.11268	18.05734	-10.37679	12	27.92717	13.74907	-977.0413	374.312	-25.70104	-985.955	371	-51.09058	
55.24	0	1	-0.1152977	0	1	0.6	-0.02444947	-0.2100996	0	0.6	-6.192074	18.00612	-10.37679	12	26.21844	13.62003	-977.0604	374.3082	-25.74423	-985.955	371	-51.09058	
55.244	0	1	-0.1152977	0	1	0.6	-0.02512858	-0.2105674	0	0.6	-6.188946	17.94845	-10.37679	12	24.83996	13.51953	-977.0794	374.3045	-25.78744	-985.955	371	-51.09058	
55.248	0	1	-0.1152977	0	1	0.6	-0.02559802	-0.2108837	0	0.6	-6.109114	17.88265	-10.37679	12	23.70747	13.4404	-977.0984	374.3008	-25.83065	-985.955	371	-51.09058	
55.252	0	1	-0.1152977	0	1	0.6	-0.02590041	-0.2110909	0	0.6	-6.089189	17.78281	-10.37679	12	22.75804	13.37736	-977.1174	374.2971	-25.87388	-985.955	371	-51.09058	
55.256	0	1	-0.1271463	0	1	0.6	-0.02110916	-0.2112148	0	0.6	-7.973967	17.65244	-11.44317	12	20.87889	13.32641	-977.1364	374.2934	-25.91712	-985.955	371	-51.09058	
55.26	0	1	-0.1271463	0	1	0.6	-0.02159872	-0.2112781	0	0.6	-7.793362	17.48253	-11.44317	12	19.36619	13.2846	-977.1553	374.2898	-25.96037	-985.955	371	-51.09058	
