scored	WPSize	time	distnace	score
1	6	2.868	1.699849	0.02380952

1	6	2.548	0.949065	0.04761905

1	6	2.604	1.881815	0.07142857

1	6	2.56	1.496535	0.0952381

1	6	3.564	1.779658	0.1190476

1	6	2.563999	2.825798	0.1428571

1	6	3.484001	1.39772	0.1666667

1	6	2.576	1.499729	0.1904762

1	6	2.643999	2.264787	0.2142857

1	6	2.584002	2.497705	0.2380952

1	6	2.636	3.424475	0.2619048

1	2	2.572001	0.8567449	0.2857143

1	2	3.703999	1.355006	0.3095238

1	2	2.556	0.4338556	0.3333333

1	2	3.688	1.152563	0.3571429

1	2	2.552002	1.73925	0.3809524

1	2	2.588001	1.548129	0.4047619

1	2	2.548	0.4888038	0.4285714

1	2	2.699997	1.406622	0.452381

1	2	2.568001	0.6033323	0.4761905

1	2	2.612	1.415138	0.5

1	2	2.548	0.7993565	0.5238096

1	0.3	3.688	0.2827481	0.5476191

1	0.3	2.588005	0.2851857	0.5714287

0	0.3	3.675995	0.3694116	0.5714287

1	0.3	2.560005	0.191344	0.5952382

0	0.3	3.835999	0.342077	0.5952382

1	0.3	2.559998	0.2128438	0.6190478

0	0.3	3.840004	0.653471	0.6190478

0	0.3	2.547997	0.4960808	0.6190478

0	0.3	2.616005	3.39518	0.6190478

1	0.3	2.547997	0.1610022	0.6428573

1	0.3	2.783997	0.1081487	0.6666669

1	0.3	2.556007	0.2479959	0.6904764

1	0.3	2.739998	0.1739237	0.714286

1	0.3	2.556	0.1833337	0.7380955

1	0.3	2.648003	0.1234459	0.7619051

0	0.3	2.551994	0.3847258	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

