scored	WPSize	time	distnace	score
1	6	2.864	1.160644	0.02380952

1	6	2.588	3.987824	0.04761905

1	6	3.376	0.5942484	0.07142857

1	6	2.56	1.342097	0.0952381

1	6	2.648	1.661712	0.1190476

1	6	2.564	0.80928	0.1428571

1	6	3.616001	2.096103	0.1666667

1	6	2.552	2.145118	0.1904762

1	6	2.572001	2.019378	0.2142857

1	6	2.547998	0.7149072	0.2380952

1	6	2.668001	1.693148	0.2619048

1	6	2.58	3.636482	0.2857143

1	6	3.416	0.8679016	0.3095238

1	2	2.551998	1.824473	0.3333333

1	2	3.612003	1.53323	0.3571429

1	2	2.551998	1.588952	0.3809524

1	2	2.591999	1.280724	0.4047619

1	2	2.544003	0.9113351	0.4285714

1	2	3.751999	1.231301	0.452381

1	2	2.576	1.355585	0.4761905

1	2	2.68	1.508892	0.5

1	2	2.548	1.50148	0.5238096

1	2	2.600002	1.153762	0.5476191

1	2	2.556	1.291619	0.5714287

1	2	3.575996	0.8259711	0.5952382

1	2	2.552002	1.724234	0.6190478

1	0.3	2.624001	0.1503147	0.6428573

1	0.3	2.547997	0.2409193	0.6666669

1	0.3	3.912003	0.1226327	0.6904764

0	0.3	2.564003	0.390637	0.6904764

0	0.3	2.748001	0.3605929	0.6904764

1	0.3	2.624001	0.228522	0.714286

1	0.3	3.755997	0.2862782	0.7380955

1	0.3	2.552002	0.2587531	0.7619051

0	0.3	3.736	0.6010092	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

0	0.3	0	0	0.7619051

