scored	WPSize	time	distnace	score
0	0.3	2.864	0.3807425	0

1	0.3	2.548	0.1559011	0.02941176

1	0.3	2.656001	0.1057321	0.05882353

1	0.3	2.592	0.2047353	0.0882353

0	0.3	4.252	0.3382815	0.0882353

0	0.3	2.996	0.5208808	0.0882353

1	0.3	3.712	0.09985643	0.1176471

0	0.3	2.58	0.3890116	0.1176471

0	0.3	2.668001	5.938321	0.1176471

0	0.3	2.615999	0.5322549	0.1176471

0	0.3	2.688	0.324926	0.1176471

0	0.3	2.608002	0.5555934	0.1176471

1	0.3	3.579998	0.134677	0.1470588

1	0.3	2.548	0.2147849	0.1764706

0	0.3	3.972	0.4555821	0.1764706

0	0.3	2.560001	0.4360357	0.1764706

0	0.3	2.776001	7.117208	0.1764706

1	0.3	2.635998	0.2882282	0.2058824

0	0.3	3.964001	0.727459	0.2058824

0	0.3	2.604	0.4935825	0.2058824

0	0.3	2.724003	0.4585096	0.2058824

0	0.3	2.580002	0.4297845	0.2058824

0	0.3	2.675995	1.015977	0.2058824

0	0.3	2.616005	0.4465463	0.2058824

0	0.3	3.779999	0.3811899	0.2058824

1	0.3	2.552002	0.1052857	0.2352941

0	0.3	4.035995	10.1373	0.2352941

1	0.3	2.695999	0.1595189	0.2647059

0	0.3	2.800003	0.5337051	0.2647059

0	0.3	2.68	1.911943	0.2647059

0	0.3	2.68	3.477157	0.2647059

1	0.3	2.563995	0.2459415	0.2941177

0	0.3	3.808006	0.3116391	0.2941177

1	0.3	2.559998	0.2474788	0.3235294

