scored	WPSize	time	distnace	score
1	6	2.86	0.2998272	0.02380952

1	6	2.548	2.26604	0.04761905

1	6	2.56	2.941235	0.07142857

1	6	2.6	3.810251	0.0952381

1	6	3.388	1.062705	0.1190476

1	6	2.572	1.076527	0.1428571

1	6	2.640001	2.791075	0.1666667

1	6	2.596001	2.366946	0.1904762

1	6	3.504	1.274912	0.2142857

1	2	2.548	0.623522	0.2380952

1	2	3.712	0.4338433	0.2619048

1	2	2.547998	1.1751	0.2857143

1	2	2.616001	0.4418462	0.3095238

1	2	2.556	1.214972	0.3333333

1	2	3.624001	1.395568	0.3571429

1	2	2.563999	0.6150931	0.3809524

1	2	2.68	1.335266	0.4047619

1	2	2.556	1.436972	0.4285714

1	0.3	3.652	0.2570251	0.452381

0	0.3	2.624001	0.5108685	0.452381

1	0.3	2.648003	0.07968049	0.4761905

1	0.3	2.556	0.2704516	0.5

1	0.3	2.756001	0.2034586	0.5238096

0	0.3	2.599998	0.9859337	0.5238096

1	0.3	3.980003	0.07714039	0.5476191

1	0.3	2.584	0.2868428	0.5714287

0	0.3	2.723999	0.5444381	0.5714287

1	0.3	2.596001	0.2327576	0.5952382

1	0.3	3.703995	0.2071705	0.6190478

0	0.3	2.552002	0.4126381	0.6190478

1	0.3	2.744003	0.1268349	0.6428573

1	0.3	2.556	0.2140047	0.6666669

1	0.3	3.743996	0.0260191	0.6904764

1	0.3	2.556	0.09702939	0.714286

1	0.3	3.740005	0.2431737	0.7380955

1	0.3	2.568001	0.2989379	0.7619051

1	0.3	3.855995	0.1025257	0.7857146

1	0.3	2.576004	0.1038668	0.8095242

1	0.3	2.732002	0.2789653	0.8333337

1	0.3	2.563995	0.1237815	0.8571433

1	0.3	2.664001	0.1970629	0.8809528

1	0.3	2.571999	0.2322608	0.9047624

