scored	WPSize	time	distnace	score
1	6	2.86	1.202608	0.02380952

1	6	2.576	4.222517	0.04761905

1	6	3.436	3.870798	0.07142857

1	6	2.552	3.963316	0.0952381

1	6	3.48	1.443594	0.1190476

1	6	2.576001	1.562364	0.1428571

1	6	2.615999	3.697131	0.1666667

1	6	2.552	4.337168	0.1904762

1	6	2.564001	1.55498	0.2142857

1	2	2.548	1.005329	0.2380952

1	2	3.595999	0.7559853	0.2619048

1	2	2.548002	0.7485627	0.2857143

1	2	3.663998	0.2918632	0.3095238

1	2	2.552002	0.2140527	0.3333333

1	2	2.688	1.199768	0.3571429

1	2	2.551998	1.805159	0.3809524

1	2	2.604	0.3329494	0.4047619

1	2	2.548	1.38702	0.4285714

1	0.3	2.616001	0.1263062	0.452381

1	0.3	2.552002	0.1274754	0.4761905

1	0.3	3.955997	0.2003482	0.5

0	0.3	2.644001	0.4057445	0.5

1	0.3	3.747997	0.05299494	0.5238096

1	0.3	2.608002	0.175019	0.5476191

0	0.3	2.728004	0.6159704	0.5476191

0	0.3	2.563995	0.3712794	0.5476191

0	0.3	2.620003	7.080965	0.5476191

1	0.3	2.592003	0.07803182	0.5714287

1	0.3	3.911995	0.1551767	0.5952382

0	0.3	2.576004	0.3155624	0.5952382

0	0.3	3.963997	0.4268552	0.5952382

1	0.3	2.552002	0.1777462	0.6190478

1	0.3	2.732002	0.2376724	0.6428573

1	0.3	2.559998	0.0503047	0.6666669

0	0.3	2.648003	0.8211991	0.6666669

0	0.3	0	0	0.6666669

0	0.3	0	0	0.6666669

0	0.3	0	0	0.6666669

0	0.3	0	0	0.6666669

0	0.3	0	0	0.6666669

0	0.3	0	0	0.6666669

0	0.3	0	0	0.6666669

