scored	WPSize	time	distnace	score
1	6	2.86	0.5733931	0.02380952

1	6	2.592	3.958679	0.04761905

1	6	3.384	1.877591	0.07142857

1	6	2.588	2.147767	0.0952381

1	6	2.632	1.604578	0.1190476

1	6	2.580001	2.98253	0.1428571

1	6	3.448	0.4300767	0.1666667

1	6	2.543999	1.415231	0.1904762

1	6	2.596001	1.231223	0.2142857

1	6	2.556	2.076233	0.2380952

1	6	2.616001	2.235868	0.2619048

1	6	2.572001	2.507432	0.2857143

1	6	3.531998	1.211518	0.3095238

1	2	2.568001	0.4947157	0.3333333

1	2	3.616001	0.1970094	0.3571429

1	2	2.543999	1.199753	0.3809524

1	2	2.624001	0.3954521	0.4047619

1	2	2.552002	1.053252	0.4285714

1	2	3.635998	0.751269	0.452381

1	2	2.556004	0.4928294	0.4761905

1	2	2.688	1.088496	0.5

1	2	2.551998	0.9029511	0.5238096

1	2	2.632	0.1978316	0.5476191

1	2	2.548004	1.250523	0.5714287

1	2	3.575996	0.8839789	0.5952382

1	2	2.543999	1.73644	0.6190478

1	0.3	2.627998	0.1422316	0.6428573

1	0.3	2.548004	0.258891	0.6666669

1	0.3	3.776001	0.1408061	0.6904764

0	0.3	2.552002	0.4913064	0.6904764

0	0.3	2.879997	0.3185172	0.6904764

0	0.3	2.792	1.041826	0.6904764

1	0.3	3.891998	0.2539923	0.714286

1	0.3	2.552002	0.1311525	0.7380955

1	0.3	3.779999	0.01600598	0.7619051

1	0.3	2.552002	0.1564098	0.7857146

1	0.3	3.755997	0.09190885	0.8095242

1	0.3	2.556	0.118945	0.8333337

1	0.3	2.664001	0.1627062	0.8571433

0	0.3	2.572006	0.3922527	0.8571433

0	0.3	0	0	0.8571433

0	0.3	0	0	0.8571433

