scored	WPSize	time	distnace	score
1	6	2.856	1.260361	0.02380952

1	6	2.576	3.632718	0.04761905

1	6	3.428	1.034297	0.07142857

1	6	2.584	3.516185	0.0952381

1	6	3.428	1.404348	0.1190476

1	6	2.56	0.8709425	0.1428571

1	6	2.612	3.892951	0.1666667

1	6	2.552	3.701367	0.1904762

1	6	2.560001	1.638916	0.2142857

1	6	2.591999	3.740366	0.2380952

1	6	3.404001	1.147331	0.2619048

1	6	2.58	4.208066	0.2857143

1	6	3.371998	1.310475	0.3095238

1	2	2.556004	0.1388664	0.3333333

1	2	2.703999	0.8846444	0.3571429

1	2	2.551998	1.572409	0.3809524

1	2	2.604	0.3541609	0.4047619

1	2	2.548	1.602952	0.4285714

1	2	2.608002	0.3042932	0.452381

1	2	2.548	1.14757	0.4761905

1	2	3.604	0.6531023	0.5

1	2	2.551998	1.102382	0.5238096

1	2	3.616001	0.4837743	0.5476191

1	2	2.552002	0.3118562	0.5714287

1	2	2.68	1.726465	0.5952382

1	2	2.547997	1.521784	0.6190478

1	0.3	2.620003	0.1540556	0.6428573

1	0.3	2.575996	0.04473845	0.6666669

1	0.3	3.852005	0.1639839	0.6904764

0	0.3	2.552002	0.3320372	0.6904764

1	0.3	3.883995	0.07559215	0.714286

1	0.3	2.543999	0.2383901	0.7380955

1	0.3	2.736	0.06460877	0.7619051

1	0.3	2.560005	0.1936321	0.7857146

1	0.3	2.647995	0.1340495	0.8095242

0	0.3	2.600006	0.5077175	0.8095242

0	0.3	0	0	0.8095242

0	0.3	0	0	0.8095242

0	0.3	0	0	0.8095242

0	0.3	0	0	0.8095242

0	0.3	0	0	0.8095242

0	0.3	0	0	0.8095242

