scored	WPSize	time	distnace	score
1	6	2.86	1.163512	0.02941176

1	6	2.552	1.081795	0.05882353

1	6	2.68	3.128979	0.0882353

1	6	2.56	3.658216	0.1176471

1	6	2.58	0.6727352	0.1470588

1	6	2.592	3.167359	0.1764706

1	6	3.424001	1.472	0.2058824

1	6	2.556	1.247018	0.2352941

1	6	3.656	1.417228	0.2647059

1	6	2.568001	3.761811	0.2941177

1	6	3.468	2.24802	0.3235294

1	6	2.604	1.667813	0.3529412

1	6	3.531998	0.8079343	0.3823529

1	6	2.556004	1.166876	0.4117647

1	6	2.639999	2.921362	0.4411765

1	6	2.568001	2.490188	0.4705882

1	6	2.571999	2.173193	0.5

1	6	2.556	2.601271	0.5294118

1	6	3.492001	0.958586	0.5588236

1	6	2.548	1.016851	0.5882354

1	6	2.647999	2.88063	0.6176472

1	6	2.568001	1.5738	0.647059

1	6	2.591999	3.302461	0.6764708

1	6	2.584	2.110873	0.7058825

1	6	3.548004	0.4078113	0.7352943

1	6	2.563995	2.958443	0.7647061

1	6	2.592003	0.252393	0.7941179

1	6	2.603996	3.979548	0.8235297

1	6	3.384003	1.224149	0.8529415

1	6	2.552002	0.2646115	0.8823533

1	6	2.648003	3.357847	0.9117651

1	6	2.635994	5.082973	0.9411769

1	6	3.344002	1.113454	0.9705887

1	6	2.560005	0.2657359	1

