Time	Trigger	autoControlCoef	UserInput	UserInput	UserInput	UserInput	AutoInput	AutoInput	AutoInput	AutoInput	CombinedInput	CombinedInput	CombinedInput	CombinedInput	DiffHumanAuto	DiffHumanAuto	CurrentPos	CurrentPos	CurrentPos	TargetPos	TargetPos	TargetPos	
26.348	0	1	0.06987766	-0.01260898	-1	0.6	-0.0203657	0.05035856	0	0.6	2.57219	-1.296576	6.28899	12	62.94435	2.173315	-999.4433	380.3325	267.5076	-1006.296	381	249.2233	
26.352	0	1	0.06987766	-0.01260898	-1	0.6	-0.02097772	0.05030879	0	0.6	2.559035	-1.279464	6.28899	12	62.24055	2.170828	-999.4615	380.3331	267.4642	-1006.296	381	249.2233	
26.356	0	1	0.06987766	-0.01260898	-1	0.6	-0.02141456	0.05025617	0	0.6	2.533411	-1.254542	6.28899	12	61.80411	2.168352	-999.4798	380.3337	267.4208	-1006.296	381	249.2233	
26.36	0	1	0.06987766	-0.01260898	-1	0.6	-0.02171541	0.05020631	0	0.6	2.436987	-1.219742	6.28899	12	61.57006	2.165915	-999.498	380.3343	267.3773	-1006.296	381	249.2233	
26.364	0	1	0.06987766	-0.01260898	-1	0.6	-0.02190956	0.05015639	0	0.6	2.340882	-1.1887	6.28899	12	61.4893	2.163507	-999.5164	380.3348	267.334	-1006.296	381	249.2233	
26.368	0	1	0.08567592	-0.01260898	-1	0.6	-0.02293918	0.05010642	0	0.6	4.737117	-1.162134	7.710833	12	62.94582	2.161122	-999.5347	380.3354	267.2906	-1006.296	381	249.2233	
26.372	0	1	0.08567592	-0.01260898	-1	0.6	-0.02217367	0.05005921	0	0.6	4.708352	-1.133126	7.710833	12	64.13361	2.158784	-999.553	380.336	267.2472	-1006.296	381	249.2233	
26.376	0	1	0.08567592	-0.01260898	-1	0.6	-0.02157879	0.05001472	0	0.6	4.516628	-1.120493	7.710833	12	65.12216	2.156511	-999.5713	380.3365	267.2038	-1006.296	381	249.2233	
26.38	0	1	0.08567592	-0.01260898	-1	0.6	-0.02110487	0.04996736	0	0.6	4.359925	-1.098514	7.710833	12	65.96289	2.154257	-999.5897	380.337	267.1604	-1006.296	381	249.2233	
26.384	0	1	0.08567592	-0.01260898	-1	0.6	-0.02071742	0.04991996	0	0.6	4.253688	-1.086618	7.710833	12	66.69339	2.152018	-999.608	380.3376	267.117	-1006.296	381	249.2233	
26.388	0	1	0.08567592	-0.01260898	-1	0.6	-0.02039311	0.04987253	0	0.6	4.176645	-1.070781	7.710833	12	67.34241	2.149789	-999.6263	380.3381	267.0737	-1006.296	381	249.2233	
26.392	0	1	0.07975157	-0.01260898	-1	0.6	-0.01984854	0.04982509	0	0.6	3.171684	-1.050118	7.177641	12	67.39771	2.147568	-999.6447	380.3387	267.0303	-1006.296	381	249.2233	
26.396	0	1	0.07975157	-0.01260898	-1	0.6	-0.01987311	0.04978042	0	0.6	3.245307	-1.019983	7.177641	12	67.54114	2.145383	-999.6631	380.3392	266.9869	-1006.296	381	249.2233	
26.4	0	1	0.07975157	-0.01260898	-1	0.6	-0.01985288	0.04973849	0	0.6	3.194528	-0.9964561	7.177641	12	67.75002	2.143256	-999.6815	380.3397	266.9436	-1006.296	381	249.2233	
26.404	0	1	0.07975157	-0.01260898	-1	0.6	-0.01980036	0.04969368	0	0.6	3.141364	-0.9780216	7.177641	12	68.00967	2.141142	-999.7	380.3402	266.9003	-1006.296	381	249.2233	
26.408	0	1	0.07975157	-0.01260898	-1	0.6	-0.01972233	0.04964886	0	0.6	3.070447	-0.9610593	7.177641	12	68.30758	2.139038	-999.7184	380.3407	266.8569	-1006.296	381	249.2233	
26.412	0	1	0.07975157	-0.01260898	-1	0.6	-0.01962587	0.04960402	0	0.6	2.98152	-0.942688	7.177641	12	68.63574	2.136941	-999.7369	380.3412	266.8136	-1006.296	381	249.2233	
26.416	0	1	0.09752461	-0.01260898	-1	0.6	-0.02019157	0.04956195	0	0.6	5.700703	-0.9221518	8.777215	12	70.58685	2.13488	-999.7554	380.3417	266.7703	-1006.296	381	249.2233	
26.42	0	1	0.09752461	-0.01260898	-1	0.6	-0.01926878	0.04951983	0	0.6	5.682125	-0.9015155	8.777215	12	72.15626	2.132846	-999.7739	380.3422	266.7269	-1006.296	381	249.2233	
26.424	0	1	0.09752461	-0.01260898	-1	0.6	-0.01856423	0.04947768	0	0.6	5.516605	-0.8923209	8.777215	12	73.44026	2.130833	-999.7924	380.3427	266.6837	-1006.296	381	249.2233	
26.428	0	1	0.09752461	-0.01260898	-1	0.6	-0.01801375	0.04943828	0	0.6	5.370901	-0.8811831	8.777215	12	74.51266	2.128865	-999.8109	380.3432	266.6404	-1006.296	381	249.2233	
26.432	0	1	0.09752461	-0.01260898	-1	0.6	-0.01757183	0.04939603	0	0.6	5.30175	-0.8690143	8.777215	12	75.42662	2.1269	-999.8295	380.3437	266.597	-1006.296	381	249.2233	
26.436	0	1	0.09752461	-0.01260898	-1	0.6	-0.01720815	0.04935377	0	0.6	5.261049	-0.8509946	8.777215	12	76.22144	2.124938	-999.848	380.3441	266.5537	-1006.296	381	249.2233	
26.44	0	1	0.09752461	-0.01260898	-1	0.6	-0.01690196	0.0493143	0	0.6	5.221648	-0.8288729	8.777215	12	76.92764	2.12301	-999.8666	380.3446	266.5104	-1006.296	381	249.2233	
26.444	0	1	0.08567592	-0.01260898	-1	0.6	-0.01631481	0.04927478	0	0.6	3.301353	-0.805732	7.710833	12	76.50223	2.121105	-999.8852	380.3451	266.4672	-1006.296	381	249.2233	
26.448	0	1	0.08567592	-0.01260898	-1	0.6	-0.01652507	0.04923522	0	0.6	3.437326	-0.7838321	7.710833	12	76.29337	2.119219	-999.9038	380.3455	266.4239	-1006.296	381	249.2233	
26.452	0	1	0.08567592	-0.01260898	-1	0.6	-0.01664722	0.04919564	0	0.6	3.446617	-0.7623363	7.710833	12	76.24736	2.117347	-999.9224	380.346	266.3806	-1006.296	381	249.2233	
26.456	0	1	0.08567592	-0.01260898	-1	0.6	-0.0167014	0.04915882	0	0.6	3.434081	-0.7426202	7.710833	12	76.3229	2.115515	-999.941	380.3464	266.3373	-1006.296	381	249.2233	
26.46	0	1	0.08567592	-0.01260898	-1	0.6	-0.01670486	0.04912196	0	0.6	3.390658	-0.7222009	7.710833	12	76.49121	2.113714	-999.9597	380.3468	266.2941	-1006.296	381	249.2233	
26.464	0	1	0.08567592	-0.01260898	-1	0.6	-0.01666894	0.04908505	0	0.6	3.325834	-0.7019472	7.710833	12	76.72874	2.111936	-999.9784	380.3473	266.2508	-1006.296	381	249.2233	
26.468	0	1	0.1093733	-0.02840724	-1	0.6	-0.01715845	0.03450413	0	0.6	6.995916	-3.051507	9.843597	12	79.15199	1.952193	-999.9971	380.3477	266.2076	-1006.296	381	249.2233	
26.472	0	1	0.1093733	-0.02840724	-1	0.6	-0.01617324	0.0346025	0	0.6	7.062891	-3.066807	9.843597	12	81.08231	1.831958	-1000.016	380.3481	266.1643	-1006.296	381	249.2233	
26.476	0	1	0.1093733	-0.02840724	-1	0.6	-0.0154329	0.034664	0	0.6	7.001286	-3.117492	9.843597	12	82.64137	1.741325	-1000.034	380.3486	266.1211	-1006.296	381	249.2233	
26.48	0	1	0.1093733	-0.02840724	-1	0.6	-0.01486357	0.03469987	0	0.6	6.918783	-3.188728	9.843597	12	83.92298	1.672891	-1000.053	380.349	266.0779	-1006.296	381	249.2233	
26.484	0	1	0.1093733	-0.02840724	-1	0.6	-0.01441455	0.03471645	0	0.6	6.810534	-3.269141	9.843597	12	84.99677	1.621109	-1000.072	380.3495	266.0347	-1006.296	381	249.2233	
26.488	0	1	0.1093733	-0.02840724	-1	0.6	-0.01405163	0.03471281	0	0.6	6.681674	-3.356613	9.843597	12	85.91516	1.581753	-1000.091	380.35	265.9915	-1006.296	381	249.2233	
26.492	0	1	0.1093733	-0.02840724	-1	0.6	-0.0137509	0.03469831	0	0.6	6.552336	-3.435467	9.843597	12	86.71768	1.551718	-1000.11	380.3505	265.9483	-1006.296	381	249.2233	
26.496	0	1	0.103449	-0.02840724	-1	0.6	-0.01341027	0.03467567	0	0.6	5.523314	-3.484554	9.310406	12	86.90031	1.528672	-1000.128	380.351	265.9051	-1006.296	381	249.2233	
26.5	0	1	0.103449	-0.02840724	-1	0.6	-0.01336763	0.03464406	0	0.6	5.592227	-3.512503	9.310406	12	87.14969	1.510839	-1000.147	380.3516	265.8619	-1006.296	381	249.2233	
26.504	0	1	0.103449	-0.02840724	-1	0.6	-0.01330278	0.03460788	0	0.6	5.573494	-3.516226	9.310406	12	87.45039	1.496914	-1000.166	380.3521	265.8188	-1006.296	381	249.2233	
26.508	0	1	0.103449	-0.02840724	-1	0.6	-0.01322077	0.03457403	0	0.6	5.551913	-3.487612	9.310406	12	87.7887	1.485983	-1000.185	380.3526	265.7756	-1006.296	381	249.2233	
26.512	0	1	0.103449	-0.02840724	-1	0.6	-0.01312657	0.03453469	0	0.6	5.53406	-3.420285	9.310406	12	88.1552	1.477265	-1000.204	380.3531	265.7324	-1006.296	381	249.2233	
26.516	0	1	0.103449	-0.02840724	-1	0.6	-0.01302368	0.03449916	0	0.6	5.523665	-3.342295	9.310406	12	88.54382	1.470269	-1000.223	380.3536	265.6893	-1006.296	381	249.2233	
26.52	0	1	0.103449	-0.02840724	-1	0.6	-0.0129142	0.03446212	0	0.6	5.500934	-3.258815	9.310406	12	88.94957	1.464565	-1000.242	380.3541	265.6461	-1006.296	381	249.2233	
26.524	0	1	0.09160027	-0.02840724	-1	0.6	-0.01263873	0.03442683	0	0.6	3.60147	-3.174417	8.244024	12	88.30191	1.459859	-1000.261	380.3545	265.603	-1006.296	381	249.2233	
26.528	0	1	0.09160027	-0.02840724	-1	0.6	-0.01286381	0.03439067	0	0.6	3.752348	-3.094074	8.244024	12	87.92967	1.455902	-1000.279	380.3549	265.5598	-1006.296	381	249.2233	
26.532	0	1	0.09160027	-0.02840724	-1	0.6	-0.01300284	0.03435674	0	0.6	3.774097	-3.022418	8.244024	12	87.76488	1.452538	-1000.298	380.3553	265.5167	-1006.296	381	249.2233	
26.536	0	1	0.09160027	-0.02840724	-1	0.6	-0.01307494	0.03432515	0	0.6	3.770523	-2.956171	8.244024	12	87.75519	1.449649	-1000.317	380.3557	265.4736	-1006.296	381	249.2233	
26.54	0	1	0.09160027	-0.02840724	-1	0.6	-0.01309641	0.03429315	0	0.6	3.723373	-2.894299	8.244024	12	87.86304	1.447116	-1000.336	380.356	265.4305	-1006.296	381	249.2233	
26.544	0	1	0.09160027	-0.02840724	-1	0.6	-0.01307901	0.03426372	0	0.6	3.679967	-2.833669	8.244024	12	88.0587	1.44488	-1000.355	380.3564	265.3874	-1006.296	381	249.2233	
26.548	0	1	0.1093733	-0.02840724	-1	0.6	-0.01324334	0.0342369	0	0.6	6.435125	-2.776349	9.843597	12	89.92114	1.442898	-1000.374	380.3567	265.3443	-1006.296	381	249.2233	
26.552	0	1	0.1093733	-0.02840724	-1	0.6	-0.01265326	0.03420985	0	0.6	6.457312	-2.718604	9.843597	12	91.4341	1.441107	-1000.393	380.357	265.3012	-1006.296	381	249.2233	
26.556	0	1	0.1093733	-0.02840724	-1	0.6	-0.01219541	0.03418265	0	0.6	6.302447	-2.674347	9.843597	12	92.68639	1.439458	-1000.413	380.3573	265.2581	-1006.296	381	249.2233	
26.56	0	1	0.1093733	-0.02840724	-1	0.6	-0.01183078	0.03415819	0	0.6	6.217036	-2.627556	9.843597	12	93.74402	1.437946	-1000.432	380.3576	265.215	-1006.296	381	249.2233	
26.564	0	1	0.1093733	-0.02840724	-1	0.6	-0.01153274	0.03413361	0	0.6	6.188385	-2.581786	9.843597	12	94.65539	1.436538	-1000.451	380.3578	265.1719	-1006.296	381	249.2233	
26.568	0	1	0.1093733	-0.02840724	-1	0.6	-0.0112832	0.03410894	0	0.6	6.166608	-2.531527	9.843597	12	95.45786	1.435207	-1000.47	380.3581	265.1289	-1006.296	381	249.2233	
26.572	0	1	0.1093733	-0.02840724	-1	0.6	-0.0110689	0.03408995	0	0.6	6.144173	-2.4775	9.843597	12	96.17888	1.433996	-1000.489	380.3583	265.0858	-1006.296	381	249.2233	
26.576	0	1	0.103449	-0.02840724	-1	0.6	-0.01083668	0.03406799	0	0.6	5.201666	-2.42506	9.310406	12	96.30635	1.432843	-1000.508	380.3586	265.0428	-1006.296	381	249.2233	
26.58	0	1	0.103449	-0.02840724	-1	0.6	-0.01081234	0.03404885	0	0.6	5.350916	-2.370672	9.310406	12	96.52016	1.431765	-1000.527	380.3588	264.9997	-1006.296	381	249.2233	
26.584	0	1	0.103449	-0.02840724	-1	0.6	-0.01076461	0.03403252	0	0.6	5.351958	-2.323115	9.310406	12	96.79958	1.430773	-1000.546	380.359	264.9567	-1006.296	381	249.2233	
26.588	0	1	0.103449	-0.02840724	-1	0.6	-0.01069931	0.03401611	0	0.6	5.338264	-2.276533	9.310406	12	97.12873	1.429846	-1000.566	380.3592	264.9137	-1006.296	381	249.2233	
26.592	0	1	0.103449	-0.02840724	-1	0.6	-0.01062086	0.03399964	0	0.6	5.330825	-2.230312	9.310406	12	97.49416	1.428967	-1000.585	380.3593	264.8706	-1006.296	381	249.2233	
26.596	0	1	0.103449	-0.02840724	-1	0.6	-0.01053329	0.03398601	0	0.6	5.312967	-2.183416	9.310406	12	97.88809	1.428156	-1000.604	380.3595	264.8276	-1006.296	381	249.2233	
26.6	0	1	0.1093733	-0.03433158	-1	0.6	-0.01047457	0.02838213	0	0.6	6.202369	-3.027868	9.843597	12	98.83687	1.368182	-1000.623	380.3596	264.7846	-1006.296	381	249.2233	
26.604	0	1	0.1093733	-0.03433158	-1	0.6	-0.01023631	0.02841027	0	0.6	6.287415	-3.021419	9.843597	12	99.66851	1.323049	-1000.642	380.3598	264.7416	-1006.296	381	249.2233	
26.608	0	1	0.1093733	-0.03433158	-1	0.6	-0.01003252	0.02842787	0	0.6	6.240542	-3.033961	9.843597	12	100.4111	1.289047	-1000.662	380.3599	264.6986	-1006.296	381	249.2233	
26.612	0	1	0.1093733	-0.03433158	-1	0.6	-0.009854523	0.02844045	0	0.6	6.184957	-3.050151	9.843597	12	101.0878	1.263423	-1000.681	380.36	264.6556	-1006.296	381	249.2233	
26.616	0	1	0.1093733	-0.03433158	-1	0.6	-0.009695483	0.02844419	0	0.6	6.118565	-3.053281	9.843597	12	101.7159	1.244052	-1000.7	380.3602	264.6126	-1006.296	381	249.2233	
26.62	0	1	0.1093733	-0.03433158	-1	0.6	-0.009550362	0.02844346	0	0.6	6.089149	-3.030751	9.843597	12	102.3068	1.229372	-1000.72	380.3604	264.5697	-1006.296	381	249.2233	
26.624	0	1	0.1093733	-0.03433158	-1	0.6	-0.009415979	0.0284452	0	0.6	6.087227	-2.998427	9.843597	12	102.8702	1.21827	-1000.739	380.3604	264.5267	-1006.296	381	249.2233	
26.628	0	1	0.1093733	-0.05210463	-1	0.6	-0.009289684	0.01143849	0	0.6	6.060848	-5.622628	9.843597	12	103.4128	1.032091	-1000.758	380.3606	264.4837	-1006.296	381	249.2233	
26.632	0	1	0.1093733	-0.05210463	-1	0.6	-0.00916967	0.01148005	0	0.6	6.158791	-5.618713	9.843597	12	103.94	0.8923346	-1000.778	380.3607	264.4408	-1006.296	381	249.2233	
26.636	0	1	0.1093733	-0.05210463	-1	0.6	-0.009054451	0.01151135	0	0.6	6.143422	-5.646314	9.843597	12	104.4548	0.7874259	-1000.797	380.3608	264.3979	-1006.296	381	249.2233	
26.64	0	1	0.1093733	-0.05210463	-1	0.6	-0.008943237	0.01152673	0	0.6	6.131873	-5.704431	9.843597	12	104.9597	0.7085917	-1000.817	380.3609	264.3549	-1006.296	381	249.2233	
26.644	0	1	0.1093733	-0.05210463	-1	0.6	-0.008835413	0.01153757	0	0.6	6.110892	-5.792561	9.843597	12	105.4565	0.649344	-1000.836	380.3611	264.312	-1006.296	381	249.2233	
26.648	0	1	0.1093733	-0.05210463	-1	0.6	-0.008730417	0.0115368	0	0.6	6.084414	-5.866164	9.843597	12	105.9463	0.6047252	-1000.855	380.3612	264.2691	-1006.296	381	249.2233	
26.652	0	1	0.1093733	-0.05210463	-1	0.6	-0.008628019	0.01153477	0	0.6	6.055284	-5.893223	9.843597	12	106.43	0.5711085	-1000.875	380.3614	264.2262	-1006.296	381	249.2233	
26.656	0	1	0.1093733	-0.05210463	-1	0.6	-0.008527951	0.01152954	0	0.6	6.031964	-5.878922	9.843597	12	106.9093	0.5457433	-1000.894	380.3615	264.1833	-1006.296	381	249.2233	
26.66	0	1	0.1093733	-0.05210463	-1	0.6	-0.008429825	0.01152192	0	0.6	6.107569	-5.824241	9.843597	12	107.3857	0.5265669	-1000.914	380.3617	264.1404	-1006.296	381	249.2233	
26.664	0	1	0.1093733	-0.05210463	-1	0.6	-0.008333265	0.01151549	0	0.6	6.071479	-5.753245	9.843597	12	107.8594	0.5120624	-1000.934	380.3618	264.0976	-1006.296	381	249.2233	
26.668	0	1	0.1093733	-0.05210463	-1	0.6	-0.008238226	0.01150771	0	0.6	6.041813	-5.667737	9.843597	12	108.3309	0.501062	-1000.953	380.3619	264.0547	-1006.296	381	249.2233	
