scored	WPSize	time	distnace	score
1	0.3	2.868	0.1481697	0.02941176

1	0.3	2.56	0.2023889	0.05882353

1	0.3	2.74	0.2033007	0.0882353

1	0.3	2.58	0.1481905	0.1176471

1	0.3	2.656	0.1879824	0.1470588

0	0.3	2.576	0.6284732	0.1470588

1	0.3	4.328	0.278528	0.1764706

0	0.3	2.644001	5.779968	0.1764706

0	0.3	3.312	0.3269784	0.1764706

0	0.3	2.548	0.3039174	0.1764706

0	0.3	4.131998	0.6638701	0.1764706

0	0.3	2.620003	1.188135	0.1764706

0	0.3	3.903999	1.02441	0.1764706

1	0.3	2.571999	0.09264847	0.2058824

0	0.3	2.804001	0.682188	0.2058824

0	0.3	2.616001	0.4944895	0.2058824

0	0.3	2.875999	1.217174	0.2058824

0	0.3	2.703999	0.5524883	0.2058824

1	0.3	3.832001	0.2422208	0.2352941

0	0.3	2.572002	0.4608406	0.2352941

1	0.3	2.795998	0.2149112	0.2647059

1	0.3	2.556004	0.2880324	0.2941177

1	0.3	2.655998	0.07401451	0.3235294

1	0.3	2.556	0.2872807	0.3529412

0	0.3	4.064003	1.065328	0.3529412

0	0.3	2.615997	1.127068	0.3529412

0	0.3	2.636002	1.107884	0.3529412

0	0.3	2.575996	0.3474815	0.3529412

0	0.3	4.060005	0.4999807	0.3529412

1	0.3	2.587997	0.1941757	0.3823529

0	0.3	2.804001	0.8236364	0.3823529

1	0.3	2.603996	0.2783583	0.4117647

0	0.3	3.760002	0.402038	0.4117647

1	0.3	2.564003	0.05185565	0.4411765

