scored	WPSize	time	distnace	score
1	0.3	2.868	0.1703852	0.02941176

1	0.3	2.548	0.1232542	0.05882353

1	0.3	2.652	0.04947587	0.0882353

0	0.3	2.568	0.4763815	0.0882353

0	0.3	3.940001	0.530163	0.0882353

0	0.3	2.575999	0.3781337	0.0882353

0	0.3	4.652	6.616332	0.0882353

1	0.3	2.624001	0.03649189	0.1176471

0	0.3	2.732	0.3505191	0.1176471

1	0.3	2.58	0.2098659	0.1470588

0	0.3	4.091999	0.8128372	0.1470588

1	0.3	2.608002	0.2176672	0.1764706

1	0.3	2.764	0.2631446	0.2058824

0	0.3	2.596001	0.4595374	0.2058824

0	0.3	4.112	0.6197082	0.2058824

0	0.3	2.675999	0.8351117	0.2058824

0	0.3	2.66	0.7985247	0.2058824

0	0.3	2.576	0.3919042	0.2058824

0	0.3	5	0.5570556	0.2058824

1	0.3	2.568001	0.1572033	0.2352941

1	0.3	2.680004	0.2306924	0.2647059

1	0.3	2.579994	0.04853109	0.2941177

1	0.3	2.744003	0.08314607	0.3235294

1	0.3	2.587997	0.2153439	0.3529412

1	0.3	4.012001	0.1861665	0.3823529

0	0.3	2.648003	2.301841	0.3823529

1	0.3	3.552002	0.1051321	0.4117647

1	0.3	2.584	0.2712854	0.4411765

1	0.3	3.995995	0.1128638	0.4705882

0	0.3	2.580002	1.779347	0.4705882

1	0.3	2.748001	0.2554391	0.5

1	0.3	2.571999	0.06996553	0.5294118

1	0.3	2.660004	0.1521024	0.5588236

1	0.3	2.552002	0.0566599	0.5882354

